id,osm_type,lon,lat,name,category,subcategory,address,website
1119894589,way,-76.5218718,42.4540209,,leisure,swimming_pool,,
1120025083,way,-76.5076003,42.4319176,,leisure,pitch,,
1120272834,way,-76.5230638,42.4499798,,leisure,swimming_pool,,
1120272838,way,-76.5264418,42.4471057,,leisure,swimming_pool,,
1120369219,way,-76.614509,42.5435793,,leisure,ice_rink,,
1120369220,way,-76.6142921,42.5431032,,leisure,ice_rink,,
1120369221,way,-76.6138454,42.5430051,,amenity,parking,,
1120369229,way,-76.6039097,42.5455996,,tourism,camp_site,,
1121469175,way,-76.4785962,42.4512044,Toboggan Lodge,building,house,38 Forest Home Drive,
1121913496,way,-76.5034841,42.4377035,,leisure,playground,,
1121913942,way,-76.5013682,42.4382963,Bangs Funeral Home,shop,funeral_directors,209 West Green Street,https://www.bangsfuneralhome.com/
1122601822,way,-76.5215253,42.4353342,,amenity,shelter,,
1122755798,way,-76.5123471,42.4263529,,amenity,parking,,
1122755801,way,-76.5120259,42.4266697,,amenity,parking,,
1123436337,way,-76.473925,42.4489303,,amenity,parking,,
1123436353,way,-76.4731905,42.4497185,Nearing Summerhouse,building,yes,,
1123532548,way,-76.4789696,42.4574926,,leisure,pitch,,
1123532550,way,-76.4787994,42.4570185,,leisure,pitch,,
1123532551,way,-76.4786228,42.4570594,,leisure,pitch,,
1123532552,way,-76.4787067,42.4572651,,leisure,pitch,,
1123680832,way,-76.4997896,42.4288045,,amenity,parking,,
1123686049,way,-76.4673259,42.4449223,Teaching and Research Barn,building,university,839 Campus Road,
1123747740,way,-76.4640467,42.4907362,,amenity,parking,,
1123747741,way,-76.4623342,42.4898819,,amenity,parking,,
1123942337,way,-76.4800062,42.4425914,,leisure,pitch,,
1123942338,way,-76.4798282,42.4425843,,leisure,pitch,,
1123942339,way,-76.4796501,42.4425738,,leisure,pitch,,
1123942340,way,-76.4794721,42.4425663,,leisure,pitch,,
1123942341,way,-76.4792941,42.4425587,,leisure,pitch,,
1123983065,way,-76.4613263,42.43029,,amenity,parking,,
1133021548,way,-76.4700782,42.4531547,,amenity,parking,,
1133749440,way,-76.5088542,42.4407253,,amenity,parking,,
1133903123,way,-76.4740879,42.4480552,Little Rice Hall,building,university,112 Mann Drive,
1133956519,way,-76.4651769,42.4326076,Oxley Equestrian Center,leisure,horse_riding,,
1133956521,way,-76.4549022,42.4612602,Cornell University College of Veterinary Medicine Equine Park,leisure,horse_riding,,
1133956522,way,-76.4630047,42.4609805,Cornell Department of Horticulture Turf and Landscape Research Center,amenity,research_institute,,
1133976818,way,-76.4726843,42.4546452,Bess Brown Center,building,yes,,
1133976822,way,-76.4789747,42.4472239,Seeley G Mudd Hall,building,university,,
1133976823,way,-76.4794269,42.4487785,Roberts Hall,building,university,215 Garden Avenue,
1133976829,way,-76.4800878,42.4465984,ILR Research Building,building,yes,,
1133976830,way,-76.4800833,42.447307,Dolgen Hall,building,university,,
1133976833,way,-76.4785129,42.4503833,Human Ecology Building,building,university,,
1133976835,way,-76.4786986,42.4510296,,amenity,parking,,
1133979976,way,-76.4832188,42.4439328,Kimball Hall,building,university,,
